MW0079609_3_4n	CESiberia_4n
MW0079609_4_4n	CESiberia_4n
MW0079609_4n	CESiberia_4n
MW0079610_4n	CESiberia_4n
MW0079895	PUWS_2n
MW0157475	kamchatica
MW0157476_2	CESiberia_2n
MW0157478_4n	CESiberia_4n
MW0157478_2_4n	CESiberia_4n
MW0158706	CESiberia_2n
MW0158707	CESiberia_2n
MW0158708_4n	CESiberia_4n
MW0374083_4n	PUWS_4n
MW0374083_4_4n	PUWS_4n
MW0374083_6_4n	PUWS_4n
MW0374084_4n	PUWS_4n
MW0374084_2_4n	PUWS_4n
MW0374085_1_4n	PUWS_4n
MW0374085_11_4n	PUWS_4n
MW0374087_4n	PUWS_4n
MW0374087_5_4n	PUWS_4n
MW0374087_9	exclude
MW0374094_6	exclude
MW0374095_4n	PUWS_4n
MW0374101_4n	PUWS_4n
MW0374102-2_4n	PUWS_4n
NT1_1_1	selfer
NT1_2_1	selfer
NT1_3_1	selfer
NT10_1_1	CESiberia_2n
NT10_2_1	CESiberia_2n
NT10_3_1	CESiberia_2n
NT12_1_1	CESiberia_2n
NT12_2_1	CESiberia_2n
NT13_9_1	CESiberia_2n
NT14_1_1	CESiberia_2n
NT14_10_1	CESiberia_2n
NT14_11_1	CESiberia_2n
NT14_3_1	CESiberia_2n
NT14_4_1	CESiberia_2n
NT14_5_1	CESiberia_2n
NT14_6_1	CESiberia_2n
NT14_7_1	CESiberia_2n
NT14_8_1	CESiberia_2n
NT15_1_1	CESiberia_2n
NT15_2_1	CESiberia_2n
NT15_3_1	CESiberia_2n
NT15_4_1	CESiberia_2n
NT15_5_1	CESiberia_2n
NT16.1-1	CESiberia_2n
NT16.1-2	CESiberia_2n
NT16.1-4	CESiberia_2n
NT16.1-5	CESiberia_2n
NT16.2-1	CESiberia_2n
NT16.2-2	CESiberia_2n
NT16.3-1	CESiberia_2n
NT16.3-5	CESiberia_2n
NT16.3-6	CESiberia_2n
NT16.3-7	CESiberia_2n
NT16.4-1	CESiberia_2n
NT16.4-2	CESiberia_2n
NT16.4-3	CESiberia_2n
NT16.4-4	CESiberia_2n
NT16.5-1	CESiberia_2n
NT16.5-2	CESiberia_2n
NT16.5-3	CESiberia_2n
NT16.5-4	CESiberia_2n
NT17.1-1	CESiberia_2n
NT17.1-2	CESiberia_2n
NT17.1-4	CESiberia_2n
NT17.1-5	CESiberia_2n
